country,region,theme,improvement,foa,foa_nlo1,when_impact,achieved_stage,achieved
Chad,Africa,Health and Nutrition,Effective evidenced-based nutrition programming,Nutrition for improved health,Increase effectiveness of nutrition programmes interventions and practices, 2000-2004,3.Master stage,1
Chad,Africa,Health and Nutrition,Production and use of safe radioisotopes and radiopharmaceuticals for medical applications,Radioisotope and radiopharmaceuticals production for medical applications,Increase production and use of safe radioisotopes and radiopharmaceuticals for medical applications, 2000-2004,3.Master stage,1
Chad,Africa,Health and Nutrition,Quality and effective diagnostic imaging and treatment in cancer and other NCDs,Radiation oncology in cancer management,Improve imaging and treatment capacity for cancer and other NCDs including on related safety and security considerations, 2000-2004,3.Master stage,1
Chad,Africa,Safety and Security,Effective emergency preparedness & response,Emergency preparednes and response,Improve emergency preparedness & response, 2000-2004,3.Master stage,1
Chad,Africa,Safety and Security,"Effective radioactive waste management, decommissioning and remediation of contaminated sites.","Radioactive waste management, decommissioning and environmental remediation",Improve radioactive waste management, 2000-2004,3.Master stage,1
Chad,Africa,Safety and Security,Governmental and regulatory infrastructure to ensure nuclear and radiation safety,Governtmental and regulatry infrastructure for nuclear installations safety,Establish or improve governmental and regulatory infrastructure to ensure nuclear  and radiation safety, 2000-2004,3.Master stage,1
Chad,Africa,Safety and Security,Nuclear installations and fuel cycle facilities safety,Safety of nuclear installations,Enhance nuclear installation safety, 2000-2004,3.Master stage,1
Chad,Africa,Safety and Security,"Radiation protection of workers, patients, public and environment.",Radiation protection in medical uses of ionizing radiation,Strengthen radiation protection of workers patients  the public and the environment, 2000-2004,3.Master stage,1
Chad,Africa,Safety and Security,"Safe use, storage and transport, of nuclear and radioactive materials.",Transport safety,Ensure transport safety, 2000-2004,3.Master stage,1
Chad,Africa,Water and the Environment,"Effective assessment of pollution in land, air, coastal ecosystems, and the oceans, including from plastics","Marine, terrestrial and coastal environments",Improve monitoring and assessment of pollution of land air coastal ecosystems and the oceans including from plastics, 2000-2004,3.Master stage,1
Chad,Africa,Water and the Environment,Sustainable water resources management,Water resources management,Improve integrated sustainable land and water management practices for agriculture and freshwater resources, 2000-2004,3.Master stage,1
Colombia,Latin America and the Caribbean,Energy,Energy planning and inform policies to meet future energy needs,Energy planning,Improve energy planning and inform policies to meet future energy needs, 2000-2004,3.Master stage,1
Colombia,Latin America and the Caribbean,Energy,Knowledge on application and development of Small Modular Reactors (SMRs),Nuclear power reactors,Increase knowledge on application and development of SMRs, 2000-2004,3.Master stage,1
Colombia,Latin America and the Caribbean,Energy,"Safe and sustainable introduction, operation, and lifetime management of nuclear power plant/ nuclear fuel cycle",Introduction of nuclear power,Support clean energy production and safe introduction operation and lifetime management of nuclear power plant, 2000-2004,3.Master stage,1
Colombia,Latin America and the Caribbean,Food and Agriculture,Crops with increased productivity and/or climate resilience properties,Crop production,Increase crop productivity and resilience to climate change in agriculture, 2020-2023,4.Regional reference,1
Colombia,Latin America and the Caribbean,Food and Agriculture,Detection and control of major insect pests of Agricultural and Veterinary importance,Insect pest control,Improve surveillance detection and control of insect pests of Agricultural and Veterinary  importance, 2000-2004,1.Initial stage,1
Colombia,Latin America and the Caribbean,Food and Agriculture,Food safety and quality control,Food safety,Ensure food safety and quality for protection of consumers and to facilitate international trade, 2000-2004,1.Initial stage,1
Colombia,Latin America and the Caribbean,Food and Agriculture,Sustainable animal production/livestock productivity,Livestock production,Increase livestock productivity, 2000-2004,3.Master stage,1
Colombia,Latin America and the Caribbean,Food and Agriculture,"Sustainable, soil and water management practices for agriculture",Agricultural water and soil management,Improved agricultural soil water and crop nutrition management, 2015-2019,4.Regional reference,1
Colombia,Latin America and the Caribbean,Health and Nutrition,Detection and control of major insect pests including zoonotic diseases affecting Human health,Inspect pest control,Improve surveillance detection and control of insect pests affecting human health, 2000-2004,3.Master stage,1
Colombia,Latin America and the Caribbean,Health and Nutrition,Effective evidenced-based nutrition programming,Nutrition for improved health,Increase effectiveness of nutrition programmes interventions and practices, 2000-2004,3.Master stage,1
Colombia,Latin America and the Caribbean,Health and Nutrition,Production and use of safe radioisotopes and radiopharmaceuticals for medical applications,Radioisotope and radiopharmaceuticals production for medical applications,Increase production and use of safe radioisotopes and radiopharmaceuticals for medical applications, 2020-2023,4.Regional reference,1
Colombia,Latin America and the Caribbean,Health and Nutrition,Quality and effective diagnostic imaging and treatment in cancer and other NCDs,Radiation oncology in cancer management,Improve imaging and treatment capacity for cancer and other NCDs including on related safety and security considerations, 2015-2019,4.Regional reference,1
Colombia,Latin America and the Caribbean,Industrial Applications/Radiation technology,"Efficiency, productivity, quality, and safety across industries, using nuclear technologies",Accelerator technology,Improve efficiency productivity quality and safety across industries using nuclear technologies, 2010-2014,2.Established stage,1
Colombia,Latin America and the Caribbean,Industrial Applications/Radiation technology,"Safe and effective utilization, operation, and maintenance of research reactors",Research reactors,Increase the safe and effective utilization operation and maintenance of research reactors, 2010-2014,2.Established stage,1
Colombia,Latin America and the Caribbean,Industrial Applications/Radiation technology,,Nuclear instrumentation,Improve quality reliability and comparability of measurement results obtained by radioisotopes techniques and safe use of nuclear instrumentation, 2010-2014,2.Established stage,1
